subject,prefix,label,trial,trial_num,ambient,split_mode1,valid,csi_exists,proxy13_exists,full33_exists,csi_path,proxy13_path,full33_path
ajh,AJH,standing_still,t001,1,quiet,train,True,True,True,True,csi_to_pose_ajh/csi/safe/posture/standing_still/AJH/AJH_standing_still_t001.csv,csi_to_pose_ajh/pose_gt_world/proxy_13/standing_still/AJH/AJH_standing_still_t001_proxy13.csv,csi_to_pose_ajh/pose_gt_world/full_33_landmarks/standing_still/AJH/AJH_standing_still_t001_full33.csv
ajh,AJH,standing_still,t002,2,quiet,train,True,True,True,True,csi_to_pose_ajh/csi/safe/posture/standing_still/AJH/AJH_standing_still_t002.csv,csi_to_pose_ajh/pose_gt_world/proxy_13/standing_still/AJH/AJH_standing_still_t002_proxy13.csv,csi_to_pose_ajh/pose_gt_world/full_33_landmarks/standing_still/AJH/AJH_standing_still_t002_full33.csv
ajh,AJH,standing_still,t003,3,quiet,train,True,True,True,True,csi_to_pose_ajh/csi/safe/posture/standing_still/AJH/AJH_standing_still_t003.csv,csi_to_pose_ajh/pose_gt_world/proxy_13/standing_still/AJH/AJH_standing_still_t003_proxy13.csv,csi_to_pose_ajh/pose_gt_world/full_33_landmarks/standing_still/AJH/AJH_standing_still_t003_full33.csv
ajh,AJH,standing_still,t004,4,quiet,train,True,True,True,True,csi_to_pose_ajh/csi/safe/posture/standing_still/AJH/AJH_standing_still_t004.csv,csi_to_pose_ajh/pose_gt_world/proxy_13/standing_still/AJH/AJH_standing_still_t004_proxy13.csv,csi_to_pose_ajh/pose_gt_world/full_33_landmarks/standing_still/AJH/AJH_standing_still_t004_full33.csv
ajh,AJH,standing_still,t005,5,quiet,train,True,True,True,True,csi_to_pose_ajh/csi/safe/posture/standing_still/AJH/AJH_standing_still_t005.csv,csi_to_pose_ajh/pose_gt_world/proxy_13/standing_still/AJH/AJH_standing_still_t005_proxy13.csv,csi_to_pose_ajh/pose_gt_world/full_33_landmarks/standing_still/AJH/AJH_standing_still_t005_full33.csv
ajh,AJH,standing_still,t006,6,quiet,val,True,True,True,True,csi_to_pose_ajh/csi/safe/posture/standing_still/AJH/AJH_standing_still_t006.csv,csi_to_pose_ajh/pose_gt_world/proxy_13/standing_still/AJH/AJH_standing_still_t006_proxy13.csv,csi_to_pose_ajh/pose_gt_world/full_33_landmarks/standing_still/AJH/AJH_standing_still_t006_full33.csv
ajh,AJH,standing_still,t007,7,quiet,test,True,True,True,True,csi_to_pose_ajh/csi/safe/posture/standing_still/AJH/AJH_standing_still_t007.csv,csi_to_pose_ajh/pose_gt_world/proxy_13/standing_still/AJH/AJH_standing_still_t007_proxy13.csv,csi_to_pose_ajh/pose_gt_world/full_33_landmarks/standing_still/AJH/AJH_standing_still_t007_full33.csv
ajh,AJH,standing_still,t008,8,aircon,train,True,True,True,True,csi_to_pose_ajh/csi/safe/posture/standing_still/AJH/AJH_standing_still_t008.csv,csi_to_pose_ajh/pose_gt_world/proxy_13/standing_still/AJH/AJH_standing_still_t008_proxy13.csv,csi_to_pose_ajh/pose_gt_world/full_33_landmarks/standing_still/AJH/AJH_standing_still_t008_full33.csv
ajh,AJH,standing_still,t009,9,aircon,train,True,True,True,True,csi_to_pose_ajh/csi/safe/posture/standing_still/AJH/AJH_standing_still_t009.csv,csi_to_pose_ajh/pose_gt_world/proxy_13/standing_still/AJH/AJH_standing_still_t009_proxy13.csv,csi_to_pose_ajh/pose_gt_world/full_33_landmarks/standing_still/AJH/AJH_standing_still_t009_full33.csv
ajh,AJH,standing_still,t010,10,aircon,train,True,True,True,True,csi_to_pose_ajh/csi/safe/posture/standing_still/AJH/AJH_standing_still_t010.csv,csi_to_pose_ajh/pose_gt_world/proxy_13/standing_still/AJH/AJH_standing_still_t010_proxy13.csv,csi_to_pose_ajh/pose_gt_world/full_33_landmarks/standing_still/AJH/AJH_standing_still_t010_full33.csv
ajh,AJH,standing_still,t011,11,aircon,train,True,True,True,True,csi_to_pose_ajh/csi/safe/posture/standing_still/AJH/AJH_standing_still_t011.csv,csi_to_pose_ajh/pose_gt_world/proxy_13/standing_still/AJH/AJH_standing_still_t011_proxy13.csv,csi_to_pose_ajh/pose_gt_world/full_33_landmarks/standing_still/AJH/AJH_standing_still_t011_full33.csv
ajh,AJH,standing_still,t012,12,aircon,val,True,True,True,True,csi_to_pose_ajh/csi/safe/posture/standing_still/AJH/AJH_standing_still_t012.csv,csi_to_pose_ajh/pose_gt_world/proxy_13/standing_still/AJH/AJH_standing_still_t012_proxy13.csv,csi_to_pose_ajh/pose_gt_world/full_33_landmarks/standing_still/AJH/AJH_standing_still_t012_full33.csv
