trial_id,subject,environment,task,class_id,scenario_id,detail_label,risk,risk_id,gt_schema,n_alive,time_method,csi,gt_pose,original_video
yja_E02_D01_t001,yja,E02,pose_and_action,12,D01,fall_from_standing,danger,2,gvhmr_smpl_full_v1,3,timestamps,data/pose_and_action/yja/E02/danger/D01_fall_from_standing/yja_E02_D01_t001/csi.csv,data/pose_and_action/yja/E02/danger/D01_fall_from_standing/yja_E02_D01_t001/gt_pose.npz,data/pose_and_action/yja/E02/danger/D01_fall_from_standing/yja_E02_D01_t001/original_video.mp4
yja_E02_D01_t002,yja,E02,pose_and_action,12,D01,fall_from_standing,danger,2,gvhmr_smpl_full_v1,3,timestamps,data/pose_and_action/yja/E02/danger/D01_fall_from_standing/yja_E02_D01_t002/csi.csv,data/pose_and_action/yja/E02/danger/D01_fall_from_standing/yja_E02_D01_t002/gt_pose.npz,data/pose_and_action/yja/E02/danger/D01_fall_from_standing/yja_E02_D01_t002/original_video.mp4
yja_E02_D01_t003,yja,E02,pose_and_action,12,D01,fall_from_standing,danger,2,gvhmr_smpl_full_v1,3,timestamps,data/pose_and_action/yja/E02/danger/D01_fall_from_standing/yja_E02_D01_t003/csi.csv,data/pose_and_action/yja/E02/danger/D01_fall_from_standing/yja_E02_D01_t003/gt_pose.npz,data/pose_and_action/yja/E02/danger/D01_fall_from_standing/yja_E02_D01_t003/original_video.mp4
yja_E02_D01_t004,yja,E02,pose_and_action,12,D01,fall_from_standing,danger,2,gvhmr_smpl_full_v1,3,timestamps,data/pose_and_action/yja/E02/danger/D01_fall_from_standing/yja_E02_D01_t004/csi.csv,data/pose_and_action/yja/E02/danger/D01_fall_from_standing/yja_E02_D01_t004/gt_pose.npz,data/pose_and_action/yja/E02/danger/D01_fall_from_standing/yja_E02_D01_t004/original_video.mp4
yja_E02_D01_t005,yja,E02,pose_and_action,12,D01,fall_from_standing,danger,2,gvhmr_smpl_full_v1,3,timestamps,data/pose_and_action/yja/E02/danger/D01_fall_from_standing/yja_E02_D01_t005/csi.csv,data/pose_and_action/yja/E02/danger/D01_fall_from_standing/yja_E02_D01_t005/gt_pose.npz,data/pose_and_action/yja/E02/danger/D01_fall_from_standing/yja_E02_D01_t005/original_video.mp4
yja_E02_D01_t006,yja,E02,pose_and_action,12,D01,fall_from_standing,danger,2,gvhmr_smpl_full_v1,3,timestamps,data/pose_and_action/yja/E02/danger/D01_fall_from_standing/yja_E02_D01_t006/csi.csv,data/pose_and_action/yja/E02/danger/D01_fall_from_standing/yja_E02_D01_t006/gt_pose.npz,data/pose_and_action/yja/E02/danger/D01_fall_from_standing/yja_E02_D01_t006/original_video.mp4
yja_E02_D01_t007,yja,E02,pose_and_action,12,D01,fall_from_standing,danger,2,gvhmr_smpl_full_v1,3,timestamps,data/pose_and_action/yja/E02/danger/D01_fall_from_standing/yja_E02_D01_t007/csi.csv,data/pose_and_action/yja/E02/danger/D01_fall_from_standing/yja_E02_D01_t007/gt_pose.npz,data/pose_and_action/yja/E02/danger/D01_fall_from_standing/yja_E02_D01_t007/original_video.mp4
yja_E02_D01_t008,yja,E02,pose_and_action,12,D01,fall_from_standing,danger,2,gvhmr_smpl_full_v1,3,timestamps,data/pose_and_action/yja/E02/danger/D01_fall_from_standing/yja_E02_D01_t008/csi.csv,data/pose_and_action/yja/E02/danger/D01_fall_from_standing/yja_E02_D01_t008/gt_pose.npz,data/pose_and_action/yja/E02/danger/D01_fall_from_standing/yja_E02_D01_t008/original_video.mp4
yja_E02_D01_t009,yja,E02,pose_and_action,12,D01,fall_from_standing,danger,2,gvhmr_smpl_full_v1,3,timestamps,data/pose_and_action/yja/E02/danger/D01_fall_from_standing/yja_E02_D01_t009/csi.csv,data/pose_and_action/yja/E02/danger/D01_fall_from_standing/yja_E02_D01_t009/gt_pose.npz,data/pose_and_action/yja/E02/danger/D01_fall_from_standing/yja_E02_D01_t009/original_video.mp4
yja_E02_D01_t010,yja,E02,pose_and_action,12,D01,fall_from_standing,danger,2,gvhmr_smpl_full_v1,3,timestamps,data/pose_and_action/yja/E02/danger/D01_fall_from_standing/yja_E02_D01_t010/csi.csv,data/pose_and_action/yja/E02/danger/D01_fall_from_standing/yja_E02_D01_t010/gt_pose.npz,data/pose_and_action/yja/E02/danger/D01_fall_from_standing/yja_E02_D01_t010/original_video.mp4
